query_id,query,pool_rank,doc_id,title,snippet,source_modes,best_rank,rank_baseline,rank_ltr,rank_adaptive,rank_hybrid,rank_cross_encoder,previous_label,manual_label,notes
1,vitamins health benefits,17,83400,are vitamins antioxidants,"They're loaded with nutrients, called antioxidants, that are good for you. Add more fruits and vegetables of any kind to your diet. It'll help your health. Some foods are higher in antioxidants than others, though. The three major antioxidant vitamins are beta-carotene, vitamin C, and vitamin E.","ltr,adaptive,hybrid",9,,10,10,9,,,2,
1,vitamins health benefits,18,62539,what vitamins are in raspberries,"83 mg/100g. Health Benefits Red Raspberries contain strong antioxidants such as Vitamin C, quercetin and gallic acid that fight against cancer, heart and circulatory disease and age-related decline. They are high in ellagic acid, a known chemopreventative, and have been shown to have anti-inflammatory properties. 1 Red raspberry oil is creating interest in the cosmeceutical market (skin care products which provide health benefits)....",cross_encoder,10,,,,,10,,3,
1,vitamins health benefits,19,86315,do chickpeas have carbohydrates,"Chick Peas and Diet. Legumes (like Chick Peas), have a high carb count but a much lower net carb or digestible carb content. They contain several vitamins and minerals. They are a good source of dietary fiber, which has a number of health benefits. For example, fiber helps protect against digestive disorders and disease.",baseline,10,10,,,,,,3,
2,tesla battery technology,1,25876,tesla engineer salary,"Tesla reveals jobs, salaries for its gigafactory. Tesla details gigafactory positions, salaries in application to state of Nevada. Tesla plans to have 6,500 employees by its eighth year and stay at that level through its 10th year, although Tesla CEO Elon Musk also stated that employment could grow upwards of workers in an interview with Fox Business News. Initial projections had the gigafactory being fully operational by 2017....","baseline,ltr,adaptive,hybrid",1,1,7,7,9,,,0,
2,tesla battery technology,2,79433,what is tesla car,"The Tesla Roadster is a battery electric vehicle (BEV) sports car produced by the electric car firm Tesla Motors in California between 2008 and 2012. The Roadster is the first highway-capable all-electric vehicle in serial production for sale in the United States in recent times. Tesla cumulative production of the Roadster reached 1,000 cars in January 2010....","baseline,ltr,adaptive,hybrid,cross_encoder",1,6,6,6,4,1,,2,
2,tesla battery technology,3,88921,new tesla plant square footage,"A newbie user captured HD footage of the new Tesla Gigafactory in Storey County, Nevada, where Tesla plans to roll out enough batteries per year to power 500,000 cars. The video shows the staggering size of the factory, which will span 10 million square feet once complete. When finished, the factory will employ an estimated 6,500 people and, Musk says, the new batteries should reduce the cost of the Tesla Model 3 by up to $3,000....","ltr,adaptive,hybrid,cross_encoder",1,,1,1,1,6,,2,
2,tesla battery technology,4,100946,tesla auto cost,tesla model iii to challenge bmw 3 series world exclusive auto tesla s $ 35000 car will be called the model 3 engadget tesla announces new smaller electric vehicle named model 3 the a $ 35000 tesla model iii is coming in 2017 forbes tesla gets sporty with new electric car the model 3 cnet,"baseline,ltr,adaptive,hybrid,cross_encoder",2,2,8,8,8,9,,0,
2,tesla battery technology,5,81364,tesla electric cars origin energy,"Tesla Motors of 2006 runs on a electric motor with a rack of batteries. Nik's Car was Wireless Dude! No need for downtime recharging it. Return to Tesla Company like back in 1930. Wireless free radiant energy! Nikola Tesla had an Electric Pierce Arrow back in 1930, the ICE engine was replaced with an Electric Motor. The power source was a black box of radio tubes, in the glove compartment. The box had an antenna sticking out.","ltr,adaptive,hybrid,cross_encoder",2,,3,3,2,2,,2,
2,tesla battery technology,6,88852,what is a tesla coil,"A Tesla coil is a device that uses resonant circuits and alternating current to produce extremely high voltages. Originally invented by Nikola Tesla in the late 1800s, Tesla coils have progressed from spark-gap circuits to designs involving modern solid-state switching devices such as MOSFETs and IGBTs.","ltr,adaptive,hybrid,cross_encoder",2,,2,2,3,4,,0,
2,tesla battery technology,7,29100,tesla cost of ownership,"Last week Tesla Motors announced a new pseudo-lease program claiming a true cost of ownership of just $500/month. That would be considerably less than I am paying right now for a car that would be comparable to their mid range, but that low figure comes from the entry level model of course. Based on their number for electricity cost, driving 4 days a week would cost me $275 in electricity per month, plus $40 in tolls (assuming I can use the car pool lane)....",baseline,3,3,,,,,,0,
2,tesla battery technology,8,97591,tesla cost to charge,"That meant using up some passenger or cargo space. Tesla says it has passed its crash tests without its cells deforming or coolant leaking. By most estimates, the battery for the Model S that I drove should cost between $42,500 and $55,250, or half the cost of the car. But Straubel indicated that it is already much lower. ""They're way less than half, actually,"" he says.","baseline,ltr,adaptive,hybrid,cross_encoder",3,8,4,4,5,3,,2,
2,tesla battery technology,9,37155,tesla installation intern salary,"Tesla Motors Salary. Tesla Motors average salary is $99,868, median salary is $95,000 with a salary range from $47,590 to $250,000. Tesla Motors salaries are collected from government agencies and companies. Each salary is associated with a real job position. Tesla Motors salary statistics is not exclusive and is for reference only. Engineer in Trainings also rank high on the pay scale, with expected average earnings of $98K per year....",baseline,4,4,,,,,,0,
2,tesla battery technology,10,70859,tesla mechanical engineer salary,"Tesla Motors Mechanical Engineer Salary. Tesla Motors Mechanical Engineer average salary is $81,837, median salary is $80,000 with a salary range from $65,000 to $120,000. Tesla Motors Mechanical Engineer salaries are collected from government agencies and companies. Each salary is associated with a real job position","baseline,ltr,adaptive,hybrid",5,5,9,9,10,,,0,
2,tesla battery technology,11,81622,who is nikola tesla,"Nikola Tesla (10 July 1856 – 7 January 1943) was a physicist, inventor, and electrical engineer. An ethnic Serb born in the Military Frontier (present-day Croatia), he was a subject of the Austrian Empire who later became an American citizen.","baseline,cross_encoder",5,7,,,,5,,0,
2,tesla battery technology,12,96324,how much does a tesla cost,"Tesla History. Tesla is the innovator of the only continual production highway-capable electric car. With Tesla prices starting at $101,500 for the Roadster, selecting the right options and incentives will help obtain great Tesla car prices. Far from a traditional automaker, the Tesla company sees itself as the leader in cutting-edge progressive car technology.","ltr,adaptive,hybrid,cross_encoder",5,,5,5,6,10,,2,
2,tesla battery technology,13,46727,how long to recharge a tesla,"In the end, our Tesla battery reached a full charge (normal range mode) in 59 minutes, during which time 193 miles of range were added. That's an overall average charge rate of 196 miles per hour, and we pulled out of the parking lot with 231 miles on the range meter. Here's what my data looks like graphed out.","ltr,adaptive,hybrid,cross_encoder",7,,10,10,7,8,,2,
2,tesla battery technology,14,85138,how practical is a tesla,"Tesla built his first oscillator as a tool for studying high-frequency electrical phenomena. He also constructed high-frequency electrical alternators for the same purpose. When it comes to describing practical applications for this type of electrical power supply, top on my list is high-frequency electric lighting. Tesla's investigations in the area of high-voltage RF power processing techniques resulted in the very first high-efficiency, high-frequency lighting ballasts....",cross_encoder,7,,,,,7,,0,
2,tesla battery technology,15,71159,cmos technology definition,"Definition: A CMOS sensor is a type of image sensor inside a digital camera consisting of an integrated circuit that records an image. The complementary metal-oxide semiconductor (CMOS) sensor consists of millions of pixel sensors, each of which includes a photodetector. As light enters the camera through the lens, it strikes the CMOS sensor, which causes each photodetector to accumulate an electric charge based on the amount of light that strikes it....",baseline,9,9,,,,,,1,
2,tesla battery technology,16,83271,operational technology definition,"Operational technology (OT) is hardware and software that detects or causes a change through the direct monitoring and/or control of physical devices, processes and events in the enterprise. Gartner outlines key CSP-OT market influencers and its associated overarching assumptions that have long-term impact on our 2015 forecasts. We also include a visual depiction of the market model and describe the influencing factors to be considered when analyzing forecasts.",baseline,10,10,,,,,,1,
3,climate change effects,1,60733,when did climate change start to happen,"Current climate change began at the beginning of the industrial revolution, in response to increases in atmospheric carbon dioxide from the burning of fossil fuel. The initial change was very small. We can see much more dramatic effects beginning about 30 years ago, and CO2 levels eclipsed 350 ppm. A: Climate change has always happened. The current cycle is similar to the past 4 in the trends, although this has been the coolest of the five we know of....","baseline,ltr,adaptive,hybrid,cross_encoder",1,1,2,2,2,2,,3,
3,climate change effects,2,72844,what is climate change for kids,"Climate change, also called global warming, is the process of the Earth's climate gradually getting warmer. In addition to the Earth warming, rainfall patterns are changing, sea level is rising, and snow and ice are melting sooner in the spring-which reduces California's water supply.","baseline,ltr,adaptive,hybrid,cross_encoder",1,10,1,1,1,4,,2,
3,climate change effects,3,78163,risk management of lyme disease as result of climate change,"Climate change will have the following effects on Lyme disease: An acceleration of the tick's developmental cycle, a prolonged developmental cycle, increased egg production, increased population density, and a broader range of risk areas.","baseline,ltr,adaptive,hybrid,cross_encoder",1,2,3,3,3,1,,3,
3,climate change effects,4,27389,what is the kyoto protocol designed to do,"The Kyoto Protocol is a plan created by the United Nations for the United Nations Framework Convention on Climate Change that tries to reduce the effects of climate change, such as global warming. The plan says that countries that adopt (follow) the Kyoto Protocol have to try to reduce how much carbon dioxide (and other greenhouse gases that pollute the atmosphere) they release into the air....","baseline,ltr,adaptive,hybrid,cross_encoder",3,3,6,6,6,3,,3,
3,climate change effects,5,20778,how is climate change affecting rainforests,"The world's climate depends on the Amazon's rainforests. As well as storing vast amounts of carbon, these huge forests regulate global rainfall patterns. But now climate change is affecting the Amazon-and that could mean more disastrous changes around the world. Why we're involved. More than half of the Amazon rainforest could be lost or severely damaged as early as 2030 if current trends in deforestation, droughts, forest fires and global greenhouse gas emissions continue....","baseline,ltr,adaptive,hybrid,cross_encoder",4,9,5,5,4,9,,2,
3,climate change effects,6,63501,why are the polar species an important species in the world,"Importance of polar bears. Polar bears are at the top of the food chain and have an important role in the overall health of the marine environment. Over thousands of years, polar bears have also been an important part of the cultures and economies of Arctic peoples. Polar bears depend on sea ice for their existence and are directly impacted by climate change—serving as an important indicator species. Effects of Climate Change....","baseline,ltr,adaptive,hybrid,cross_encoder",4,4,10,10,8,7,,3,
3,climate change effects,7,90951,what is being done australia climate change,"© WWF / Chris Martin BAHR. WWF is campaigning in Australia and internationally for action to reduce carbon pollution that contributes to global warming, climate change and ocean acidification. As an exceptionally large polluter, Australia has a key role to play globally. © naturepl.com / Steven Kazlowski / WWF. Strong international co-operation through a global deal to cut pollution. Climate change is a global problem that requires a global solution....","ltr,adaptive,hybrid",4,,4,4,5,,,2,
3,climate change effects,8,28404,what could concept of capturing gas from Landfills be used for,"Methane is also the main ingredient in natural gas. Because methane can be captured from landfills, it can be burned to produce electricity, heat buildings, or power garbage trucks. Capturing methane before it gets into the atmosphere also helps reduce the effects of climate change. While it's important to reduce, reuse, and recycle as much as you can, it's hard to avoid throwing out some trash every week....","baseline,cross_encoder",5,5,,,,8,,3,
3,climate change effects,9,62246,what does clearing forests affect the environment,"Deforestation has many negative effects on the environment. The most dramatic impact is a loss of habitat for millions of species. Seventy percent of Earth's land animals and plants live in forests, and many cannot survive the deforestation that destroys their homes. Deforestation also drives climate change. Forests still cover about 30 percent of the world's land area, but swaths the size of Panama are lost each and every year....","baseline,cross_encoder",5,6,,,,5,,3,
3,climate change effects,10,30588,good effects of hurricanes,"Perhaps the only positive effect of hurricanes is that they are heat dumps. They develop when the energy of condensation piles up on top of already warm tropical waters. Were this mechanical process not to exist, global warming and climate change would unarguably become an issue that no one could ever debate.","baseline,cross_encoder",6,7,,,,6,,3,
3,climate change effects,11,34555,what are the climate zones,"Climate zones. Climate zones. Source: wikipedia.org. Climate zones are areas with distinct climates, which occur in east-west direction around the Earth, and can be classified using different climatic parametres. Generally, climate zones are belt-shaped and circular around the Poles (see picture on the right).","ltr,adaptive,hybrid",7,,7,7,10,,,1,
3,climate change effects,12,97935,effect of water current climate,"Warm-Water Currents and Climate Surface currents are often warmer than deep currents, but the temperatures of surface currents do vary. Coastal areas that are affected by warm-water currents tend to have warmer climates than inland areas of the same latitude have. Section 2 Currents and Climate Key Concept Ocean currents transport energy, affect climate and weather, and distribute nutrients. What You Will Learn • Surface currents affect climate by distributing energy around Earth....","ltr,adaptive,hybrid",7,,8,8,7,,,2,
3,climate change effects,13,31926,what causes climate change methane,"With these observations — that methane is a greenhouse gas, that changes to emissions can affect the atmospheric concentration, and that climate can cause methane emissions to vary — there is a potential for some very interesting positive feedbacks. Methane as a Greenhouse Gas. First some basics: methane (CH 4) is a very simple molecule (one carbon surrounded by four hydrogen atoms) and is created predominantly by bacteria that feed on organic material.","baseline,cross_encoder",8,8,,,,10,,2,
3,climate change effects,14,37748,what is mediterranean climate,Mediterranean Climate. a subtropical climate with hot dry summers and mild rainy winters. It occurs in the countries of the Mediterranean region; in the USSR such a climate is found on the Southern Crimean Shore and along the Black Sea coast of the Caucasus northwest of Tuapse.,"ltr,adaptive,hybrid",9,,9,9,9,,,1,
4,machine learning algorithms,1,26717,salary machine learning engineer,"$152,000. Average Machine Learning Engineer salaries for job postings in Sunnyvale, CA are 41% higher than average Machine Learning Engineer salaries for job postings nationwide.","baseline,ltr,adaptive,hybrid,cross_encoder",1,1,2,2,2,2,,2,
4,machine learning algorithms,2,93387,how does azure machine learning work,"Azure Machine Learning (Azure ML) is a cloud service that helps people execute the machine learning process. As its name suggests, it runs on Microsoft Azure, a public cloud platform. Because of this, Azure ML can work with very large amounts of data and be accessed from anywhere in the world. When you have lots of data to work with, this can be a very effective approach. What Azure ML Provides The machine learning process isn't especially simple....","baseline,ltr,adaptive,hybrid,cross_encoder",1,2,1,1,1,1,,2,
4,machine learning algorithms,3,87568,advantages of genetic algorithms,"0. advantages of algorithm. 1 it is a step-by-step rep. of a solution to a given prblem ,which is very easy to understand. 2 it has got a definite procedure. 3 it easy to first develope an algorithm,&then convert it into a flowchart &then into a computer program. 4 it is independent of programming language. 1","baseline,cross_encoder",3,3,,,,3,,1,
4,machine learning algorithms,4,98445,peer learning meaning,"'Peer learning' is a form of cooperative learning that enhances the value of student-student interaction and results in various advantageous learning outcomes. To realise the benefits of peer learning, teachers must provide 'intellectual scaffolding'.","baseline,ltr,adaptive,hybrid",3,7,3,3,3,,,0,
4,machine learning algorithms,5,25866,vicarious learning definition,"Vicarious Learning/Observational Learning/Social Learning/Modeling. Observational learning (also known as: vicarious learning or social learning or modeling) is learning that occurs as a function of observing, retaining and replicating behavior observed in others.","baseline,ltr,adaptive,hybrid,cross_encoder",4,4,5,5,5,10,,0,
4,machine learning algorithms,6,61280,learning theory definition,"Learning theories are conceptual frameworks describing how information is absorbed, processed, and retained during learning. Cognitive, emotional, and environmental influences, as well as prior experience, all play a part in how understanding, or a world view, is acquired or changed and knowledge and skills retained. Behaviorists look at learning as an aspect of conditioning and will advocate a system of rewards and targets in education....","baseline,ltr,adaptive,hybrid,cross_encoder",4,5,4,4,4,8,,0,
4,machine learning algorithms,7,94919,purpose of turing machine,1 What the initial configuration of a Turing machine on an input string x is. 2 The fact that Turing machines can compute functions as well as decide/recognize languages. 3 The language accepted by a Turing machine (page 284). 1 Church's Thesis: This thesis states that any algorithm can be represented as a Turing machine....,cross_encoder,4,,,,,4,,2,
4,machine learning algorithms,8,51316,alan turing created turing machine,"The Turing machine was invented in 1936 by Alan Turing, who called it an a-machine (automatic machine). Thus, Turing machines prove fundamental limitations on the power of mechanical computation. While they can express arbitrary computations, their minimalistic design makes them unsuitable for computation in practice: actual computers are based on different designs that, unlike Turing machines, use random access memory.","ltr,adaptive,hybrid,cross_encoder",5,,8,8,6,5,,1,
4,machine learning algorithms,9,77095,definition learning psychology,"Introduction to Learning Theory and Behavioral Psychology. Learning can be defined as the process leading to relatively permanent behavioral change or potential behavioral change. In other words, as we learn, we alter the way we perceive our environment, the way we interpret the incoming stimuli, and therefore the way we interact, or behave.","baseline,cross_encoder",6,6,,,,9,,0,
4,machine learning algorithms,10,82918,what is collective learning,"Collective learning is a complex concept that is variously defined. It is generally conceptualized as a dynamic and cumulative process that results in the production of knowledge. Such knowledge is institutionalized in the form of structures, rules, routines, norms, discourse, and strategies that guide future action. Collective learning, therefore, represents a macro concept that addresses learning at the levels of the team, the organization, and society....","baseline,cross_encoder",6,10,,,,6,,0,
4,machine learning algorithms,11,91161,cost of an mri machine,"1 The cost of an MRI machine depends upon the size of the machine. 2 Usually, you can expect to pay anywhere from $500,000 to an upwards of $1,000,000 for an MRI machine. 3 In certain cases, the MRI machine can cost $10,000,000.","ltr,adaptive,hybrid",6,,6,6,9,,,1,
4,machine learning algorithms,12,20521,what is a learning log,"LEARNING LOG or LEARNING JOURNALS. A Learning Log is basically a log or record or journal of your own learning. It is not necessarily a formal 'academic' piece of work. It is a personal record of your own learning. As such it is a document which is unique to you and cannot be 'right' or 'wrong'. A Learning Log helps you to record, structure, think about and reflect upon, plan, develop and evidence your own learning.","ltr,adaptive,hybrid",7,,7,7,8,,4,0,
4,machine learning algorithms,13,35038,learning theory definition psychology,"Learning theories are conceptual frameworks describing how information is absorbed, processed, and retained during learning. Cognitive, emotional, and environmental influences, as well as prior experience, all play a part in how understanding, or a world view, is acquired or changed and knowledge and skills retained....","baseline,cross_encoder",7,8,,,,7,,0,
4,machine learning algorithms,14,76153,first vending machine dispensed what,"A vending machine is a machine that dispenses items such as snacks, beverages, alcohol, cigarettes, lottery tickets to customers automatically, after the customer inserts currency or credit into the machine. The first modern vending machines were developed in England in the early 20th century and dispensed postcards. Sweden's Distec company invented the bokomaten machine to vend library books at remote locations and during off hours....","ltr,adaptive,hybrid",7,,10,10,7,,,1,
4,machine learning algorithms,15,63711,self-directed learning definition,""" Self-directed learning is a continuous engagement in acquiring, applying and creating knowledge and skills in the context of an individual learner's unique problems. Effectively supporting self-directed learning is one of the critical challenges in supporting lifelong learning. 1 Self-directed learning: Emerging theory and practice. 2 In H. B. Long & Associates, Self-directed learning: Emerging theory and practice....",baseline,9,9,,,,,,0,
4,machine learning algorithms,16,84635,what is impact on student learning,"The 'learning' part of visible learning -- and a common theme throughout the book -- is the need to think of teaching with learning in the forefront and with the idea that we should consider teaching primarily in terms of its impact on student learning. Evidence shows that the greatest effects on student learning come when not only the students become their own teachers (through self-monitoring, and self-assessment), but the teachers become learners of their own teaching (to be explained below).","ltr,adaptive,hybrid",9,,9,9,10,,,0,
5,cooking pasta recipes,1,70681,what dishes is pasta used in,"We know pasta recipes are in your normal dinner recipes rotation, so we hope to spark some inspiration here with new ideas. Pasta suppers like noodle bowls or creamy pasta on a weeknight! Bake a pasta casserole for a casual party. (Don't forget the king of all pasta casseroles: lasagna .) The pasta recipes here are only a start. We've got entire collections of favorites—from asparagus pasta and pasta salad recipes to Healthy Living pasta and mac and cheese.","ltr,adaptive,hybrid,cross_encoder",1,,1,1,1,1,,2,
5,cooking pasta recipes,2,88944,foil steak cooking recipes,"1 Place chuck steak on a large enough piece of aluminum foil to completely cover meat and vegetables. 2 Place in center of a baking sheet; spread dry soup mix on top of steak meat. 3 Add potatoes, carrots and butter on top. 4 Seal foil and bake 1 to 1 1/2 hours, or until vegetables are soft. 5 Remove from oven and serve hot.",baseline,1,1,,,,,,2,
5,cooking pasta recipes,3,27891,how long do you let pasta boil,"To cook pasta and prevent it from sticking, pasta needs Large pot. Use at least 1 Liters of water per 100g. of pasta. Salt is added to the boiling water, not to lower the boiling point. If you dont season the cooking water, the pasta may taste flat, no matter how salty the sauce you dress it in. 1 Bring the water to a full, rolling boil. 1 Bring a large pot of lightly salted water to a boil. 2 Add pasta and cook for 8 to 10 minutes or until al dente; drain....","ltr,adaptive,hybrid,cross_encoder",2,,3,3,2,6,,2,
5,cooking pasta recipes,4,38966,cooking to freeze rice recipes,"We freeze the rice in the corning ware, put the dish in the top of the pot, cold water in the bottom and turn the burner on to med-low and let it go. Caution: Be sure to turn off the heat, remove the top of the pot, then take out the bowl to avoid a steam burn. Step 2: Cool that rice. It's important to let the rice cool completely in the refrigerator before freezing. This will help keep the granules separate instead of in one big, sticky clump....",baseline,2,2,,,,,,2,
5,cooking pasta recipes,5,78337,how long do you cook pasta,"To cook pasta properly, pasta needs a lot of water. A too-small pot and too little water encourages the pasta to clump and stick together, thus cooking unevenly. For a pound (16 ounces) of pasta, you will want a pot that holds at least 5 or 6 quarts of water. Don't rely on the package to give you the correct cooking time (this is only a guideline). Start timing when the water returns to a boil. Most pastas cook in 8 to 12 minutes....","ltr,adaptive,hybrid,cross_encoder",2,,2,2,3,8,,2,
5,cooking pasta recipes,6,95835,should you rinse pasta after cooking for pasta salad,"1 Pasta salad: When being used for a cold salad, pasta should always be rinsed after cooking. 2 This serves two purposes. 3 First, it stops the cooking process immediately. 1 This serves two purposes. 2 First, it stops the cooking process immediately. 3 Rinsing in cold water brings the temperature of the pasta down, which you don't want when eating it hot, but is OK in this instance since the pasta will be served cold. 4 It also keeps the pasta loose for the salad.","baseline,ltr,adaptive,hybrid,cross_encoder",2,3,7,7,7,2,,2,
5,cooking pasta recipes,7,29859,can you get gluten free pasta,"Gluten-Free Pasta. 1) Place the flour blend and xanthan gum in a food processor, bread machine, or bowl. 2) Add the egg yolks and egg and mix, then knead, adding only enough water to form a smooth dough. 3) Form the dough into a rectangle about 1 thick, wrap well, and let rest at room temperature for 30 minutes. 5) To cook the pasta: Boil 4 quarts water with 1 tablespoon salt. Add pasta and cook for 2 to 4 minutes, until the pasta is still slightly firm....","ltr,adaptive,hybrid,cross_encoder",3,,6,6,5,3,,2,
5,cooking pasta recipes,8,24605,what is ziti pasta,"Ziti is a pretty common pasta shape in most areas, but you can substitute penne pasta if you can't find it. You want a substantial short pasta shape with places to hold the sauce and meat. You can assemble this ahead, and either refrigerate or freeze before you do the final baking. 5 Pour the rest of the sauce over the pasta, dot the remaining ricotta cheese over the pasta, and sprinkle on top both the mozzarella and the Parmesan cheese....","baseline,ltr,adaptive,hybrid",4,8,4,4,6,,,0,
5,cooking pasta recipes,9,58517,what is pasta fazool,"Pasta e fagioli [ˈpasta e ffaˈdʒɔːli] , meaning pasta and beans, is a traditional meatless Italian dish. Pasta fagioli is commonly made using cannellini beans or borlotti beans and some type of small pasta such as elbow macaroni or ditalini. The base is generally olive oil, garlic, minced onion, and spices, along with stewed tomato or tomato paste. Some variations do not include tomatoes at all, and are made from a brot","baseline,ltr,adaptive,hybrid,cross_encoder",4,10,5,5,4,5,,0,
